Artist Name(s),Track Name,file_name
ACDC,Have a Drink on Me,ACDC - Have a Drink on Me_p.psarc
ACDC,Hells Bells,ACDC - Hells Bells_p.psarc
ACDC,Rock N Roll Train,ACDC - Rock N Roll Train_p.psarc
ACDC,Thunderstruck,ACDC - Thunderstruck_p.psarc
ACDC,You Shook Me All Night Long,ACDC - You Shook Me All Night Long_p.psarc
ACDC,Moneytalks,ACDC - Moneytalks_p.psarc
ACDC,Beating Around The Bush,ACDC - Beating Around The Bush_p.psarc
ACDC,Burnin' Alive,ACDC - Burnin' Alive_p.psarc
ACDC,Can I Sit Next To You Girl,ACDC - Can I Sit Next To You Girl_p.psarc
ACDC,Dirty Deeds Done Dirt Cheap Full Album,ACDC - Dirty Deeds Done Dirt Cheap Full Album_p.psarc
ACDC,Dog Eat Dog,ACDC - Dog Eat Dog_p.psarc
ACDC,Girls Got Rhythm,ACDC - Girls Got Rhythm_p.psarc
ACDC,Gone Shootin,ACDC - Gone Shootin_p.psarc
ACDC,Hell Aint A Bad Place To Be,ACDC - Hell Aint A Bad Place To Be_p.psarc
ACDC,High Voltage,ACDC - High Voltage_p.psarc
ACDC,If You Want Blood (You Got It),ACDC - If You Want Blood (You Got It)_p.psarc
ACDC,Its A Long Way To The Top,ACDC - Its A Long Way To The Top_p.psarc
ACDC,Jailbreak,ACDC - Jailbreak_p.psarc
ACDC,Kicked In The Teeth,ACDC - Kicked In The Teeth_p.psarc
ACDC,Let Me Put My Love Into You,ACDC - Let Me Put My Love Into You_p.psarc
ACDC,Let There Be Rock,ACDC - Let There Be Rock_p.psarc
ACDC,Problem Child,ACDC - Problem Child_p.psarc
ACDC,Ride On,ACDC - Ride On_p.psarc
ACDC,Riff Raff,ACDC - Riff Raff_p.psarc
ACDC,Rock 'n' Roll Singer,ACDC - Rock 'n' Roll Singer_p.psarc
ACDC,Rock And Roll Ain't Noise Pollution,ACDC - Rock And Roll Ain't Noise Pollution_p.psarc
ACDC,Show Business,ACDC - Show Business_p.psarc
ACDC,Sin City,ACDC - Sin City_p.psarc
ACDC,Stiff Upper Lip,ACDC - Stiff Upper Lip_p.psarc
ACDC,The Jack,ACDC - The Jack_p.psarc
ACDC,Touch Too Much,ACDC - Touch Too Much_p.psarc
ACDC,Walk All Over You,ACDC - Walk All Over You_p.psarc
ACDC,What Do You Do For Money Honey,ACDC - What Do You Do For Money Honey_p.psarc
ACDC,Whats Next To The Moon,ACDC - Whats Next To The Moon_p.psarc
ACDC,Who Made Who,ACDC - Who Made Who_p.psarc
ACDC,Whole Lotta Rosie,ACDC - Whole Lotta Rosie_p.psarc
ACDC,Shoot to Thrill,ACDC - Shoot to Thrill_p.psarc
ACDC,Highway to Hell,ACDC - Highway to Hell_p.psarc
ACDC,Shot Down In Flames,ACDC - Shot Down In Flames_p.psarc
ACDC,Up To My Neck In You,ACDC - Up To My Neck In You_p.psarc
ACDC,Love Hungry Man,ACDC - Love Hungry Man_p.psarc
ACDC,TNT,ACDC - TNT_p.psarc
Adele,Easy On Me,Adele - Easy On Me_p.psarc
Adele,Hello,Adele - Hello_p.psarc
Adele,Rolling in the Deep,Adele - Rolling in the Deep_p.psarc
Adele,Set Fire To The Rain,Adele - Set Fire To The Rain_p.psarc
Adele,Skyfall,Adele - Skyfall_p.psarc
Adele,Chasing Pavements,Adele - Chasing Pavements_p.psarc
Aerosmith,Amazing,Aerosmith - Amazing_p.psarc
Aerosmith,Cryin',Aerosmith - Cryin'_p.psarc
Aerosmith,I Dont Want To Miss A Thing,Aerosmith - I Dont Want To Miss A Thing_p.psarc
Aerosmith,Last Child,Aerosmith - Last Child_p.psarc
Aerosmith,Livin' On The Edge,Aerosmith - Livin' On The Edge_p.psarc
Aerosmith,Rag Doll,Aerosmith - Rag Doll_p.psarc
Aerosmith,Back in the Saddle,Aerosmith - Back in the Saddle_p.psarc
Aerosmith,Pink,Aerosmith - Pink_p.psarc
Airbourne,Back In The Game,Airbourne - Back In The Game_p.psarc
Airbourne,Stand Up For Rock N Roll,Airbourne - Stand Up For Rock N Roll_p.psarc
Anderson .Paak,Heart Don't Stand A Chance,Anderson .Paak - Heart Don't Stand A Chance_p.psarc
Anderson .Paak,Put Me Thru,Anderson .Paak - Put Me Thru_p.psarc
Anderson .Paak,Winners Circle,Anderson .Paak - Winners Circle_p.psarc
Anderson Paak,Am I Wrong,Anderson Paak - Am I Wrong_p.psarc
Anderson Paak and Free Nationals,Come Down,Anderson Paak and Free Nationals - Come Down_p.psarc
Anderson .Paak,Come Down,Anderson .Paak - Come Down_p.psarc
Anderson .Paak,Fire In The Sky,Anderson .Paak - Fire In The Sky_p.psarc
Arcade Fire,Ready To Start,Arcade Fire - Ready To Start_p.psarc
Arcade Fire,The Suburbs,Arcade Fire - The Suburbs_p.psarc
Arcade Fire,We Exist,Arcade Fire - We Exist_p.psarc
Arctic Monkeys,505,Arctic Monkeys - 505_p.psarc
Arctic Monkeys,Arabella,Arctic Monkeys - Arabella_p.psarc
Arctic Monkeys,Balaclava,Arctic Monkeys - Balaclava_p.psarc
Arctic Monkeys,Brianstorm,Arctic Monkeys - Brianstorm_p.psarc
Arctic Monkeys,Do I Wanna Know-,Arctic Monkeys - Do I Wanna Know-_p.psarc
Arctic Monkeys,Do Me a Favour,Arctic Monkeys - Do Me a Favour_p.psarc
Arctic Monkeys,Fake Tales Of San Francisco,Arctic Monkeys - Fake Tales Of San Francisco_p.psarc
Arctic Monkeys,Fluorescent Adolescent,Arctic Monkeys - Fluorescent Adolescent_p.psarc
Arctic Monkeys,I Bet You Look Good On The Dancefloor,Arctic Monkeys - I Bet You Look Good On The Dancefloor_p.psarc
Arctic Monkeys,I Wanna Be Yours,Arctic Monkeys - I Wanna Be Yours_p.psarc
Arctic Monkeys,Knee Socks,Arctic Monkeys - Knee Socks_p.psarc
Arctic Monkeys,Library Pictures,Arctic Monkeys - Library Pictures_p.psarc
Arctic Monkeys,Mardy Bum,Arctic Monkeys - Mardy Bum_p.psarc
Arctic Monkeys,Old Yellow Bricks,Arctic Monkeys - Old Yellow Bricks_p.psarc
